company,heading,position,image,employees,link,website,social_links,location,company_size,total_raised,skills,founders,founder_links,funding,culture
WattBuy                            ,"Delivering Access to Affordable, Cleaner Electricity                                                ",Senior Back End Engineer                                     ,https://photos.angel.co/startups/i/282402-a3eb91abc8c2a2904b922522f1a774a9-medium_jpg.jpg ,11-50 employees    ,https://angel.co/company/wattb                    ,https://wattbuy.com                                                      ,"['http://medium.com/wattbuy', 'https://twitter.com/wattbuy', 'https://www.facebook.com/wattbuy', 'https://www.linkedin.com/company/wattb']                                                                                                                                                   ","['New York City', 'Washington DC']                 ",11-50 people    ,$16.4M                                                                          ,"['Startup', 'Energy', 'Clean Technology', 'Energy Efficiency', 'Utilities']                                                                                                                                                                                                                        ","['Naman Trivedi', 'Ben Hood']                 ","['https://angel.co/u/naman-wattb-com', 'https://angel.co/u/wattbuy']                 ","['$16.4M', '3 rounds', 'Series A (Oct 2021)'] ",[]
Sysdig                             ,Sysdig is a cloud-native visibility and security company                                              ,"Senior Software Engineer, Agent (Serverless)               ",https://photos.angel.co/startups/i/380967-6be9fba2c07f53878d16167be63bc0e2-medium_jpg.jpg ,201-500 employees  ,https://angel.co/company/sysdig                   ,https://www.sysdig.com                                                   ,"['https://sysdig.com/blog/', 'https://twitter.com/sysdig', 'https://www.facebook.com/sysdig-2215713501987458/', 'https://www.linkedin.com/company/sysdig', 'https://www.producthunt.com/posts/sysdig-cloud']                                                                                 ","['San Francisco', 'London', 'Raleigh']             ",201-500 people  ,$191.5M                                                                         ,"['Startup', 'Enterprise Software Company', 'Internet', 'Cloud Computing', 'Analytics', 'Open Source', 'Software', 'Cloud Infrastructure', 'Cloud Security', 'Application Performance Monitoring', 'Infrastructure Monitoring']                                                                     ",['Loris Degioanni']                             ,['https://angel.co/u/loris-degioanni']                                                 ,"['$191.5M', '6 rounds', 'Series E (Jan 2020)']",[]
Relimetrics                        ,Zero defect manufacturing platform for manufacturing and assembly                                     ,Senior / Principal  C++ Developer (m/f/d)                    ,https://photos.angel.co/startups/i/3202823-e65255b6930c8818cc1df4ebf06c8b84-medium_jpg.jpg,11-50 employees    ,https://angel.co/company/relimetrics              ,http://www.relimetrics.com                                               ,"['https://twitter.com/relimetrics', 'https://www.linkedin.com/company/relimetrics']                                                                                                                                                                                                          ",['Mountain View']                                    ,11-50 people    ,$3.5M                                                                           ,"['Startup', 'Enterprise Software', 'Manufacturing', 'Automotive', 'Diagnostics']                                                                                                                                                                                                                   ",['Kemal Levi']                                  ,['https://angel.co/p/kemal-levi']                                                      ,"['$3.5M', '2 rounds', 'Series A (Mar 2021)']  ",[]
BenchSci                           ,ML platform for reagent selection and experiment design                                               ,Senior Site Reliability Engineer - SRE (Remote)              ,https://photos.angel.co/startups/i/759381-f048688f2afc5a285865e1a5219e7c02-medium_jpg.jpg ,51-200 employees   ,https://angel.co/company/scinapsis                ,https://www.benchsci.com/                                                ,"['https://blog.benchsci.com', 'https://www.twitter.com/benchsci', 'https://www.facebook.com/benchsci/', 'https://www.linkedin.com/company/benchsci']                                                                                                                                         ",['Toronto']                                          ,51-200 people   ,$51.8M                                                                          ,"['Software', 'Biotechnology', 'Life Sciences', 'Pharmaceuticals', 'Machine Learning', 'Artificial Intelligence', 'Deep Learning', 'Science']                                                                                                                                                       ",                                                ,                                                                                       ,                                                ,
IonQ                               ,Building the world’s best quantum computers to solve the world’s most ecomplex problems               ,"Senior Software Engineer, Developer Relations              ",https://photos.angel.co/startups/i/4358711-21319e6bc09262cddf945f132f22bd85-medium_jpg.jpg,51-200 employees   ,https://angel.co/company/ionq                     ,https://ionq.com                                                         ,"['https://twitter.com/ionq_inc', 'https://www.linkedin.com/company/ionq.co/']                                                                                                                                                                                                                ","['Seattle', 'District of Columbia', 'College Park']",51-200 people   ,$75M                                                                            ,"['Technology Provider', 'Cloud Computing']                                                                                                                                                                                                                                                         ",                                                ,                                                                                       ,                                                ,
Karat                              ,"We help companies hire smarter and grow faster, and create more opportunities for software engineers",Software Engineer                                            ,https://photos.angel.co/startups/i/1148319-a9ff6f3b9c93ca5838784d6bcca647bc-medium_jpg.jpg,51-200 employees   ,https://angel.co/company/karat-io                 ,https://karat.com/                                                       ,"['https://www.twitter.com/karat', 'http://www.facebook.com/karat.interviewing/', 'https://www.linkedin.com/company/karat/']                                                                                                                                                                  ",['Seattle']                                          ,51-200 people   ,$41.6M                                                                          ,"['Enterprise Software', 'Recruiting', 'Software', 'Software Engineering']                                                                                                                                                                                                                          ","['Jeffrey Spector', 'Mohit Bhende']           ","['https://angel.co/u/jeffrey-spector', 'https://angel.co/u/mohit-bhende']            ","['$41.6M', '3 rounds', 'Series B (May 2019)'] ",[]
Prophia                            ,Prophia turns mountains of commercial real estate data into recognizable insights                     ,Senior Software Engineer                                     ,https://photos.angel.co/startups/i/5646458-69a02ac1fb6e525563994438c2acbc55-medium_jpg.jpg,11-50 employees    ,https://angel.co/company/leaseable                ,https://www.prophia.com/                                                 ,['https://www.linkedin.com/company/prophia']                                                                                                                                                                                                                                                   ,"['Chicago', 'Seattle', 'San Francisco']            ",11-50 people    ,$10.2M                                                                          ,"['Enterprise Software', 'Software', 'Commercial Real Estate']                                                                                                                                                                                                                                      ",                                                ,                                                                                       ,                                                ,
Inspiration Mobility               ,Accelerating the EV transition through commercial fleet electrification                               ,Application Developer (Remote or Hybrid)                     ,https://photos.angel.co/startups/i/9241607-0a06f7fd6310bd44aec3336bd73207af-medium_jpg.jpg,11-50 employees    ,https://angel.co/company/inspiration-mobility     ,https://inspirationmobility.com/                                         ,['https://www.linkedin.com/company/inspirationmobility/']                                                                                                                                                                                                                                      ,['Washington DC']                                    ,11-50 people    ,$415M                                                                           ,"['Financial Services', 'Clean Energy', 'Infrastructure', 'Electric Vehicles', 'Transportation', 'Fleet Management', 'Renewable Energies']                                                                                                                                                          ",                                                ,                                                                                       ,                                                ,
1upHealth                          ,Healthcare API patform for applications to connect to EHR data in minutes                             ,Senior Software Engineer                                     ,https://photos.angel.co/startups/i/4096160-c3e16462a5df9c411a1b3464e2bf3da0-medium_jpg.jpg,51-200 employees   ,https://angel.co/company/1uphealth                ,https://1up.health                                                       ,"['https://1up.health/blog', 'https://twitter.com/1up_health', 'https://www.linkedin.com/company/1uphealth/']                                                                                                                                                                                 ","['Boston', 'United States']                        ",51-200 people   ,$10.4M                                                                          ,"['Healthcare', 'Medical Devices', 'Health Care Information Technology', 'Developer APIs', 'Application Platforms', 'Apps', 'Software', 'Information Security', 'Internet of Things', 'Healthcare Services', 'Data', 'Boston', 'Software Engineering', 'Mobile Application']                        ",['Ricky Sahu']                                  ,['https://angel.co/u/ricky-sahu']                                                      ,"['$10.4M', '2 rounds', 'Series A (Jan 2020)'] ","['Healthcare benefits', 'Company meals', 'Pet-friendly office', 'Company events', 'Miscellaneous']"
Womply                             ,Womply is a local commerce platform serving 500k U.S. businesses & consumers                          ,Infrastructure Engineer                                      ,https://photos.angel.co/startups/i/77949-104bbbecbaa627322ce6a3c7b4f3a0d5-medium_jpg.jpg  ,51-200 employees   ,https://angel.co/company/womply                   ,http://www.womply.com                                                    ,"['https://womply.com/blog', 'https://twitter.com/womply', 'https://www.linkedin.com/company/2401213']                                                                                                                                                                                        ","['San Francisco', 'Lehi']                          ",51-200 people   ,$30M                                                                            ,"['SaaS', 'Payment', 'Software Development', 'Analytics', 'Payments', 'CRM', 'Business Intelligence', 'Big Data', 'Developer APIs', 'Small and Medium Businesses', 'Bridging Online and Offline', 'Software', 'Credit Cards']                                                                       ",['Toby Scammell']                               ,['https://angel.co/p/toby-scammell']                                                   ,"['$30M', '3 rounds', 'Series B (Nov 2016)']   ",[]
Gr4vy                              ,"The ""no-code"" cloud payments orchestration platform                                               ",Solutions Engineer - Remote Australia                        ,https://photos.angel.co/startups/i/8151462-ba17509d24fd46061a42328e0ca44c69-medium_jpg.jpg,51-200 employees   ,https://angel.co/company/gr4vy-inc                ,https://www.gr4vy.com/                                                   ,"['https://twitter.com/gr4vypop', 'https://www.linkedin.com/company/gr4vy-inc']                                                                                                                                                                                                               ","['London', 'San Francisco Bay Area']               ",51-200 people   ,$27.2M                                                                          ,"['Payment', 'Payments', 'Retail Technology', 'Cloud Infrastructure']                                                                                                                                                                                                                               ",                                                ,                                                                                       ,                                                ,
ChowNow                            ,"Commission-free online ordering, built just for your restaurant                                     ","Backend Engineer, Staff                                    ",https://photos.angel.co/startups/i/289-7a7da2739e4a33d25b5dc76d3bac8ccf-medium_jpg.jpg    ,501-1000 employees ,https://angel.co/company/chownow                  ,http://www.chownow.com                                                   ,"['http://twitter.com/chownow', 'http://www.facebook.com/chownow', 'http://www.linkedin.com/companies/chownow']                                                                                                                                                                               ","['Los Angeles', 'Kansas City', 'Playa Vista']      ",501-1000 people ,$72.6M                                                                          ,"['Startup', 'Technology Provider', 'Mobile', 'Internet', 'E-Commerce', 'Mobile Commerce', 'Hospitality', 'Local', 'Social Commerce', 'Restaurants', 'Apps', 'Same Day Delivery']                                                                                                                   ","['Christopher Webb', 'Eric Jaffe']            ","['https://angel.co/p/cwebb', 'https://angel.co/p/eric-jaffe']                        ","['$72.6M', '9 rounds', 'Series C (May 2019)'] ","['Healthcare benefit', 'Parental_leave benefit', 'Equity benefit', 'Generous_vacation benefit', 'Commuter benefit']"
Tapcart                            ,The best mobile shopping starts with tapcart                                                          ,"Senior Software Engineer, Platform                         ",https://photos.angel.co/startups/i/805705-cffae04d9a16912a2a971d7b565ce4c0-medium_jpg.jpg ,51-200 employees   ,https://angel.co/company/tapcart                  ,https://tapcart.com                                                      ,"['https://www.twitter.com/tapcart_app', 'https://www.facebook.com/tapcart/', 'https://www.linkedin.com/company/tapcart/', 'https://www.producthunt.com/posts/tapcart']                                                                                                                       ",['Santa Monica']                                     ,51-200 people   ,$65.1M                                                                          ,"['Startup', 'Mobile App Developer', 'SaaS', 'E Commerce', 'Ios Applications', 'Mobile', 'E-Commerce', 'Mobile Commerce', 'iPhone', 'iOS', 'Predictive Analytics', 'Marketing Automation', 'Shopify ']                                                                                              ","['Sina Mobasser', 'Eric Netsch']              ","['https://angel.co/u/sina', 'https://angel.co/u/eric-netsch']                        ","['$65.1M', '5 rounds', 'Series B (Jun 2021)'] ","['Healthcare benefit', 'Equity benefit', 'Generous_vacation benefit', 'Company_meals benefit', 'Company_events benefit']"
Reap                               ,All-in-one financial kit to fuel SME's ambition                                                       ,Full-Stack Software Engineer                                 ,https://photos.angel.co/startups/i/6250035-82c606d5ef5d599b4e15a485f1186bc4-medium_jpg.jpg,11-50 employees    ,https://angel.co/company/reap-2                   ,https://www.reap.global                                                  ,"['https://www.facebook.com/reap.global/', 'https://www.linkedin.com/company/reaphq/?originalsubdomain=sg']                                                                                                                                                                                   ","['Hong Kong', 'Japan', 'Singapore']                ",11-50 people    ,$46M                                                                            ,"['Payments', 'Credit', 'Credit Cards', 'Data', 'Sme Banking', 'Singapore', 'Hong Kong', 'Remittance', 'Fin Tech', 'B2 B Market – Sme’S Specifically ']                                                                                                                                             ",                                                ,                                                                                       ,                                                ,
BoostUp.ai                         ,Predictive Revenue Intelligence from Unstructured Data                                                ,"Senior Engineer, Data Pipeline Engineering                 ",https://photos.angel.co/startups/i/4399507-9c3969a1d4031f6fad9636a8eca58d10-medium_jpg.jpg,11-50 employees    ,https://angel.co/company/boostupai                ,http://www.boostup.ai                                                    ,['https://www.linkedin.com/company/boostup-ai']                                                                                                                                                                                                                                                ,"['Santa Clara', 'Santa Clara']                     ",11-50 people    ,$14M                                                                            ,"['B2 B', 'SaaS', 'Enterprise Software']                                                                                                                                                                                                                                                            ","['Amit Sasturkar', 'sharad verma']            ","['https://angel.co/p/asasturkar', 'https://angel.co/u/sharad-verma-1']               ","['$14M', '1 round', 'Series A (Feb 2021)']    ",[]
PatientPop                         ,"PatientPop drives results for practices with a platform designed for providers, focusing on growth  ",Senior Full Stack Engineer                                   ,https://photos.angel.co/startups/i/596838-a2b83a84b9735054728c7f83c890b880-medium_jpg.jpg ,201-500 employees  ,https://angel.co/company/patientpop               ,https://www.patientpop.com                                               ,"['http://patientpop.com/blog', 'https://twitter.com/patientpop', 'https://www.facebook.com/patientpopinc', 'https://www.linkedin.com/company/patientpop-inc-']                                                                                                                               ",['Santa Monica']                                     ,201-500 people  ,$75M                                                                            ,"['Startup', 'Internet', 'SaaS', 'Healthcare', 'B2B', 'Health Care Information Technology']                                                                                                                                                                                                         ","['Luke Kervin', 'Travis Schneider ']          ","['https://angel.co/u/luke-kervin', 'https://angel.co/u/travis-schneider-1']          ","['$75M', '4 rounds', 'Series B (Oct 2018)']   ","['Benefits', 'Time off', 'Company meals', 'Pet policy', 'Volunteer time off']"
AiFi                               ,AiFi is automating the world's stores                                                                 ,Senior DevOps Engineer                                       ,https://photos.angel.co/startups/i/2935447-0c608e979796f6b6e3413717f99b3f7d-medium_jpg.jpg,51-200 employees   ,https://angel.co/company/aifi                     ,http://www.aifi.com/                                                     ,"['https://medium.com/ai-retail', 'https://twitter.com/aifiinc', 'https://www.linkedin.com/company/aifi-inc.']                                                                                                                                                                                ",['Santa Clara']                                      ,51-200 people   ,$31.9M                                                                          ,"['Technology Provider', 'Artificial Intelligence', 'Software', 'Retail', 'Machine Learning', 'Artificial Intelligence', 'Computer Vision']                                                                                                                                                         ","['Ying Zheng', 'Steve Gu']                    ","['https://angel.co/u/ying-zheng-2', 'https://angel.co/u/steve-gu-1']                 ","['$31.9M', '3 rounds', 'Series A (Oct 2020)'] ","['Health insurance', 'Retirement', 'Equity', 'Generous vacation', 'Miscellaneous']"
Linc                               ,Reinventing Shopper / Retailer Interactions                                                           ,Site Reliability Engineer                                    ,https://photos.angel.co/startups/i/30113-b45942bebae20702678e28845c4f08af-medium_jpg.jpg  ,51-200 employees   ,https://angel.co/company/linc-2                   ,http://www.letslinc.com                                                  ,"['http://www.twitter.com/lincglobal', 'https://www.linkedin.com/company/let%27s-linc']                                                                                                                                                                                                       ","['San Francisco', 'Sunnyvale']                     ",51-200 people   ,$12.6M                                                                          ,"['Mobile', 'E-Commerce', 'Big Data', 'Retail Technology']                                                                                                                                                                                                                                          ",                                                ,                                                                                       ,                                                ,
Form Energy                        ,Enabling a 100% renewable energy world!                                                               ,Software Engineering Intern - Summer 2023                    ,https://photos.angel.co/startups/i/6540881-d7fc1a04469503b569788f5c822df69d-medium_jpg.jpg,11-50 employees    ,https://angel.co/company/form-energy              ,http://www.formenergy.com                                                ,['https://www.linkedin.com/company/form-energy/']                                                                                                                                                                                                                                              ,['Somerville']                                       ,11-50 people    ,$450M                                                                           ,"['Clean Technology', 'Clean Energy', 'Batteries', 'Renewable Energies']                                                                                                                                                                                                                            ",['Ted Wiley']                                   ,['https://angel.co/u/ted-wiley']                                                       ,"['$1.9B', '1 round', 'Series E (Oct 2022)']   ",[]
Thoughtworks                       ,Thoughtworks: A Global Software Consultancy                                                           ,Lead Software Developer                                      ,https://photos.angel.co/startups/i/47128-7babe77313f5844ea86af6d1487ef435-medium_jpg.jpg  ,5000+ employees    ,https://angel.co/company/thoughtworks             ,http://www.thoughtworks.com                                              ,"['https://www.thoughtworks.com/insights/blog/', 'https://www.linkedin.com/company/thoughtworks/']                                                                                                                                                                                            ",['Chicago']                                          ,5000+ people    ,$28M                                                                            ,"['Public', 'Information Technology', 'Open Source', 'Information Services', 'Consulting', 'Software']                                                                                                                                                                                              ",                                                ,                                                                                       ,                                                ,
Linqia                             ,Making influencer marketing into a scalable media channel                                             ,DevOps Engineer                                              ,https://photos.angel.co/startups/i/33243-5c33359352ffe57d40753e29302f4d85-medium_jpg.jpg  ,51-200 employees   ,https://angel.co/company/linqia                   ,http://www.linqia.com                                                    ,"['http://www.linqia.com/insights', 'http://twitter.com/linqia', 'https://www.facebook.com/linqia', 'https://www.linkedin.com/company/linqia']                                                                                                                                                ",['San Francisco']                                    ,51-200 people   ,$3.4M                                                                           ,"['Startup', 'Early Stage', 'Advertising', 'Performance Marketing', 'Social Media Advertising', 'Content Delivery', 'Content Creators', 'Content Marketing', 'Influencer Marketing']                                                                                                                ","['Maria Sipka', 'Nader Alizadeh']             ","['https://angel.co/u/maria-sipka', 'https://angel.co/u/nader-alizadeh']              ","['$3.4M', '1 round', 'Series A (Sep 2012)']   ",[]
Hyperscience                       ,Human Centered Automation                                                                             ,"Software Engineer, Technical Services                      ",https://photos.angel.co/startups/i/527650-fc82b293e25d46b78f48e85bd1082cab-medium_jpg.jpg ,201-500 employees  ,https://angel.co/company/hyperscience             ,http://www.hyperscience.com                                              ,"['https://hyperscience.com/blog/', 'https://twitter.com/hyperscienceai', 'https://www.facebook.com/hyperscience/', 'https://www.linkedin.com/company/hyperscience/']                                                                                                                         ","['New York City', 'London', 'New York']            ",201-500 people  ,$188M                                                                           ,"['Enterprise Software Company', 'SaaS', 'Enterprise Software', 'Machine Learning', 'Data Center Automation', 'Big Data', 'Artificial Intelligence', 'Predictive Analytics', 'Cloud Data Services', 'Enterprise Application']                                                                       ",                                                ,                                                                                       ,                                                ,
Journeyfront                       ,The Worlds Most Accurate Hiring Software                                                              ,Sr. Backend Engineer (Django)                                ,https://photos.angel.co/startups/i/868520-b0633b12eba1767580693e43e9cb736d-medium_jpg.jpg ,11-50 employees    ,https://angel.co/company/journeyfront             ,https://journeyfront.com                                                 ,"['https://www.journeyfront.com/blog', 'https://www.linkedin.com/company/journeyfront/']                                                                                                                                                                                                      ",['Utah County']                                      ,11-50 people    ,$15M                                                                            ,"['Enterprise Software Company', 'Recruiting', 'Talent Analytics']                                                                                                                                                                                                                                  ","['Nick Lyon', 'Daniel Ash']                   ","['https://angel.co/u/nick-lyon', 'https://angel.co/u/daniel-ash']                    ","['$15M', '1 round', 'Series A (Feb 2022)']    ",[]
Awign Enterprises                  ,Internships | Microwork | Jobs | Uber for any work | Outsourcing | Crowdsourcing                      ,SDE2 (Backend Developer - RoR)                               ,https://photos.angel.co/startups/i/6295854-6f90e397ae6fe0f4d41357cbccd5ebe2-medium_jpg.jpg,201-500 employees  ,https://angel.co/company/iawign                   ,https://www.awign.com                                                    ,"['https://awignstories.wordpress.com/', 'https://twitter.com/in_awign', 'https://www.facebook.com/awign.internships', 'https://www.linkedin.com/company/awign-enterprises/']                                                                                                                 ",['Bengaluru']                                        ,201-500 people  ,$15M                                                                            ,"['Outsoucing', 'Internship', 'Recruitment Solutions', 'Internet', 'Sales and Marketing', 'Business Development', 'Operations ', 'Business Process Outsourcing']                                                                                                                                    ","['Gurpreet Singh', 'Annanya Sarthak']         ","['https://angel.co/u/gurpreet-singh-94', 'https://angel.co/u/annanya-sarthak']       ","['$15M', '1 round', 'Series B (Aug 2022)']    ",[]
LogicMonitor                       ,We expand what’s possible for businesses by advancing the technology behind them                      ,"Sr. Software Engineer, Professional Services               ",https://photos.angel.co/startups/i/135108-e7978a6a3c128d812ed48eaeab2f58af-medium_jpg.jpg ,1001-5000 employees,https://angel.co/company/logicmonitor             ,http://www.logicmonitor.com                                              ,"['http://blog.logicmonitor.com', 'http://www.twitter.com/logicmonitor', 'http://www.facebook.com/logicmonitor', 'http://www.linkedin.com/company/1165219']                                                                                                                                   ","['Austin', 'Singapore', 'London']                  ",1001-5000 people,$142.9M                                                                         ,"['SaaS', 'Information Technology', 'Information Services', 'SaaS', 'Information Technology', 'Machine Learning', 'Networking', 'Artificial Intelligence', 'Software', 'Virtualization', 'IT Management', 'Infrastructure Monitoring']                                                              ",                                                ,                                                                                       ,                                                ,
Box                                ,Powering how the world works together                                                                 ,"Software Engineer, Salesforce Engineer                     ",https://photos.angel.co/startups/i/82519-ca9b67f5e587be1c568a843c83a75c84-medium_jpg.jpg  ,1001-5000 employees,https://angel.co/company/box                      ,http://www.box.com                                                       ,"['https://blog.box.com/', 'https://twitter.com/box', 'http://www.facebook.com/box', 'https://www.linkedin.com/company/box']                                                                                                                                                                  ","['Austin', 'Chicago', 'New York City']             ",1001-5000 people,$564.1M                                                                         ,"['SaaS', 'SaaS', 'Enterprise Software', 'Cloud Computing', 'Storage', 'Flash Storage', 'File Sharing', 'Web Hosting', 'Non Profit']                                                                                                                                                                ",                                                ,                                                                                       ,                                                ,
Project Rōnin                      ,Cancer intelligence for the N of 1                                                                    ,Staff Platform Engineer                                      ,https://photos.angel.co/startups/i/5725734-3807d8a5ad09cbb2c95af19798085d7d-medium_jpg.jpg,51-200 employees   ,https://angel.co/company/project-ronin            ,https://www.projectronin.com/                                            ,"['https://medium.com/project-ronin', 'https://twitter.com/project_ronin', 'https://www.facebook.com/theroninprojectinc/', 'https://www.linkedin.com/company/projectronin/']                                                                                                                  ",['San Mateo']                                        ,51-200 people   ,$10M                                                                            ,"['Mobile', 'Healthcare', 'Machine Learning', 'Product Design', 'Software', 'Predictive Analytics', 'Product Management', 'Consumer']                                                                                                                                                               ","['Dave Hodgson', 'David Agus']                ","['https://angel.co/u/dave-hodgson-3', 'https://angel.co/u/david-agus']               ","['$10M', '1 round', 'Series A (May 2018)']    ","['Healthcare', 'Commuter', 'Professional development', 'Miscellaneous', 'Miscellaneous']"
Moesif                             ,Build Better APIs with Moesif API Analytics                                                           ,Software Engineer(Backend)                                   ,https://photos.angel.co/startups/i/8915216-a8852f0e0af2e293e59387b2d43f1acf-medium_jpg.jpg,11-50 employees    ,https://angel.co/company/moesif-3                 ,https://www.moesif.com/                                                  ,"['https://www.moesif.com/blog', 'https://twitter.com/moesifhq', 'https://www.facebook.com/moesifhq/', 'https://www.linkedin.com/company/moesif/']                                                                                                                                            ",['San Francisco']                                    ,11-50 people    ,$15.5M                                                                          ,"['SaaS', 'Enterprise Software Company', 'Enterprise Software', 'Developer APIs', 'Developer Tools']                                                                                                                                                                                                ",['Derric Gilling']                              ,['https://angel.co/u/derric-gilling']                                                  ,"['$15.5M', '2 rounds', 'Series A (Aug 2021)'] ",[]
Grove Collaborative                ,Everything you need to create the home you love                                                       ,Senior Full Stack Engineer                                   ,https://photos.angel.co/startups/i/166017-a1cc99e6115e1f8d537f8a716e245b46-medium_jpg.jpg ,51-200 employees   ,https://angel.co/company/grovecollab              ,http://www.grove.co/                                                     ,"['http://twitter.com/grovecollab', 'http://www.facebook.com/grovecollab', 'https://www.linkedin.com/company/epantry-inc-']                                                                                                                                                                   ","['Durham', 'Portland', 'Reno']                     ",51-200 people   ,$44.7M                                                                          ,"['Startup', 'Internet', 'E-Commerce', 'Consumer Goods', 'Retail', 'Green Consumer Goods', 'Subscription Businesses', 'Sustainability', 'Consumer Packaged Goods']                                                                                                                                  ",                                                ,                                                                                       ,                                                ,
CodeSignal                         ,Helping The World Go Beyond the Noise in Tech Recruiting                                              ,"Senior Software Engineer, Assessment Development           ",https://photos.angel.co/startups/i/6848003-b9ef09f2d30bdcab591b7474b6cc8d7e-medium_jpg.jpg,51-200 employees   ,https://angel.co/company/codesignalcom            ,http://www.codesignal.com                                                ,"['http://blog.codesignal.com/', 'https://twitter.com/codesignalcom', 'https://www.facebook.com/codesignalcom', 'https://www.linkedin.com/company/4868486']                                                                                                                                   ",['San Francisco']                                    ,51-200 people   ,$87.5M                                                                          ,['Skill Assessment']                                                                                                                                                                                                                                                                                 ,                                                ,                                                                                       ,                                                ,
Contentsquare                      ,Optimize your web and mobile UX                                                                       ,Fullstack JavaScript Software Engineer                       ,https://photos.angel.co/startups/i/1180245-913b5ec9db8d02b324a5ce13f417cdc5-medium_jpg.jpg,501-1000 employees ,https://angel.co/company/contentsquare            ,http://www.contentsquare.com/                                            ,"['https://medium.com/contentsquare-engineering-blog', 'http://twitter.com/contentsquare', 'http://www.facebook.com/pages/content-square/366046473430667', 'https://www.linkedin.com/company/contentsquare/']                                                                                 ","['London', 'Paris', 'New York']                    ",501-1000 people ,$620M                                                                           ,"['Startup', 'Internet', 'SaaS', 'E-Commerce', 'Advertising', 'Artificial Intelligence', 'Web Design', 'Software', 'Customer Experience', 'Digital Marketing']                                                                                                                                      ",['Jonathan Cherki']                             ,['https://angel.co/u/jonathan-cherki']                                                 ,"['$5.6B', '2 rounds', 'Series F (Jul 2022)']  ",[]
Briq                               ,Continuous Collaborative Financial Planning & Automation Platform For Construction                    ,Sr Backend Developer                                         ,https://photos.angel.co/startups/i/5629769-903def8f7b8548429f0dfa098e67a3df-medium_jpg.jpg,201-500 employees  ,https://angel.co/company/briq2021                 ,http://briq.com/                                                         ,"['https://www.br.iq/resources/blog', 'https://twitter.com/briqhq', 'https://www.facebook.com/briqhq/', 'https://www.linkedin.com/company/briqhq']                                                                                                                                            ",['Santa Barbara']                                    ,201-500 people  ,$43M                                                                            ,"['Corporation', 'SaaS', 'Cloud Computing', 'Payments', 'Machine Learning', 'Big Data', 'Industrial Automation', 'Construction', 'Fin Tech', 'Financial Technology']                                                                                                                                ","['Ron Goldshmidt', 'Bassem Hamdy']            ","['https://angel.co/u/briq-2', 'https://angel.co/u/bassem-hamdy']                     ","['$43M', '3 rounds', 'Series B (Jun 2021)']   ","['Amazing healthcare', 'Remote first organisation', 'Reboot days', 'Pets are family & always welcome']"
OpenSea                            ,"Discover, collect, and sell extraordinary NFTs on the world's largest NFT marketplace               ","Software Engineer, Developer Velocity                      ",https://photos.angel.co/startups/i/5535397-df2b9269e9f9d9bb05dace333153b705-medium_jpg.jpg,11-50 employees    ,https://angel.co/company/opensea-3                ,https://opensea.io                                                       ,"['https://opensea.io/blog/', 'https://twitter.com/opensea', 'https://www.facebook.com/projectopensea', 'https://www.linkedin.com/company/opensea-io/', 'https://www.producthunt.com/posts/opensea']                                                                                          ","['New York City', 'Remote']                        ",11-50 people    ,$27.1M                                                                          ,"['Marketplace ', 'Games', 'Cryptocurrency', 'Blockchains', 'Blockchain / Cryptocurrency', 'Web3', 'NFT']                                                                                                                                                                                           ","['Alex Atallah', 'Devin Finzer']              ","['https://angel.co/u/alexander-atallah', 'https://angel.co/u/devin-finzer']          ","['$13.3B', '4 rounds', 'Series C (Dec 2021)'] ",[]
